epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,625.684,1.17472,0.89068,0.98682,0.89418,0.84891,0.92298,0.60873,1.16045,0.78537,1.00154,0.00044296,0.00044296,0.00044296
56,637.527,1.22607,0.89081,1.00552,0.90772,0.86134,0.93355,0.66217,1.01946,0.74496,0.96693,0.000427565,0.000427565,0.000427565
57,648.867,1.22309,0.91531,1.00159,0.9008,0.84554,0.92887,0.6594,1.02621,0.76173,0.97023,0.000412246,0.000412246,0.000412246
58,659.847,1.18184,0.89578,0.97885,0.87068,0.85971,0.92604,0.6551,1.03028,0.79013,0.96993,0.000397019,0.000397019,0.000397019
59,671.684,1.14656,0.85334,0.98089,0.91123,0.85407,0.93333,0.65949,1.03067,0.73948,0.97022,0.000381899,0.000381899,0.000381899
60,682.694,1.20467,0.88005,0.9906,0.88217,0.84985,0.91263,0.45243,1.65088,0.88323,1.19137,0.000366899,0.000366899,0.000366899
61,693.622,1.18924,0.86476,0.984,0.91631,0.8642,0.93716,0.65441,1.04484,0.72524,0.97236,0.000352037,0.000352037,0.000352037
62,704,1.15294,0.86558,0.97283,0.92754,0.85575,0.9414,0.64637,1.08659,0.73193,0.97636,0.000337325,0.000337325,0.000337325
63,716.017,1.17983,0.85585,0.97515,0.921,0.85127,0.9305,0.59968,1.19192,0.7666,1.00808,0.000322778,0.000322778,0.000322778
64,727.287,1.14938,0.8492,0.97166,0.90614,0.86226,0.94057,0.68724,0.96256,0.70559,0.94852,0.000308412,0.000308412,0.000308412
65,738.291,1.16518,0.86039,0.98164,0.9211,0.85302,0.93825,0.67221,1.00517,0.71659,0.96299,0.000294239,0.000294239,0.000294239
66,749.988,1.11595,0.80849,0.97175,0.91092,0.85392,0.93362,0.64852,1.05169,0.71143,0.97492,0.000280275,0.000280275,0.000280275
67,760.574,1.14346,0.81845,0.97523,0.91503,0.86315,0.93629,0.66684,1.00617,0.69844,0.96273,0.000266532,0.000266532,0.000266532
68,771.519,1.13429,0.81575,0.97073,0.92897,0.86803,0.94111,0.68978,0.94994,0.67757,0.94776,0.000253024,0.000253024,0.000253024
69,782.381,1.14439,0.81318,0.97188,0.92178,0.87705,0.94111,0.65946,1.03675,0.7021,0.96843,0.000239766,0.000239766,0.000239766
70,793.491,1.14444,0.81134,0.96851,0.92588,0.87212,0.94439,0.67852,0.9783,0.67788,0.95131,0.000226769,0.000226769,0.000226769
71,804.891,1.13503,0.81136,0.96774,0.91046,0.88909,0.94214,0.68151,0.98806,0.68109,0.95381,0.000214046,0.000214046,0.000214046
72,816.474,1.12768,0.79595,0.96925,0.92325,0.87664,0.94335,0.68945,0.96809,0.6749,0.94906,0.000201611,0.000201611,0.000201611
73,827.003,1.11389,0.80005,0.96684,0.91924,0.86951,0.94051,0.67872,0.98977,0.68821,0.95588,0.000189475,0.000189475,0.000189475
