epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
88,990.908,1.06093,0.70528,0.95,2.70431,0.93547,0.89325,0.9568,0.70673,0.92634,0.60083,0.93308,0,5.07115e-05,5.07115e-05,5.07115e-05
89,1001.51,1.09443,0.71318,0.95411,2.76901,0.94004,0.88291,0.95618,0.71073,0.91075,0.59342,0.92946,0,4.47606e-05,4.47606e-05,4.47606e-05
90,1012.93,1.07704,0.72047,0.95186,2.77345,0.93545,0.89252,0.95703,0.71175,0.91782,0.59768,0.92934,0,3.9264e-05,3.9264e-05,3.9264e-05
91,1029.88,1.04375,0.67283,0.96821,2.8047,0.94147,0.88466,0.95572,0.69646,0.95631,0.61501,0.93911,0,3.4227e-05,3.4227e-05,3.4227e-05
92,1040.48,1.05185,0.64397,0.96016,2.70789,0.93903,0.8876,0.95403,0.69862,0.94532,0.61827,0.93766,0,2.96546e-05,2.96546e-05,2.96546e-05
93,1051.19,0.99678,0.62235,0.95704,2.63681,0.93597,0.89091,0.95427,0.70498,0.92665,0.60862,0.93252,0,2.55513e-05,2.55513e-05,2.55513e-05
94,1061.55,0.97644,0.61559,0.95188,2.61136,0.94178,0.89255,0.9557,0.70269,0.93761,0.61056,0.93596,0,2.19212e-05,2.19212e-05,2.19212e-05
95,1071.83,0.99301,0.60869,0.95024,2.59875,0.93406,0.89322,0.95378,0.70752,0.92288,0.60354,0.93189,0,1.87678e-05,1.87678e-05,1.87678e-05
96,1081.68,0.98005,0.60184,0.94791,2.56988,0.93632,0.8937,0.95545,0.70981,0.91926,0.60069,0.92966,0,1.60943e-05,1.60943e-05,1.60943e-05
97,1092.15,0.96889,0.60305,0.94727,2.55915,0.93804,0.89348,0.95618,0.7095,0.91759,0.59893,0.92891,0,1.39032e-05,1.39032e-05,1.39032e-05
98,1102.56,0.994,0.61363,0.96032,2.59585,0.93008,0.8988,0.95607,0.70945,0.91971,0.5994,0.92953,0,1.21968e-05,1.21968e-05,1.21968e-05
99,1112.91,0.99825,0.61316,0.95148,2.59798,0.93466,0.89492,0.95625,0.70908,0.91858,0.5988,0.92957,0,1.09768e-05,1.09768e-05,1.09768e-05
100,1123.67,0.97815,0.60383,0.95211,2.55047,0.93622,0.89448,0.95623,0.7089,0.92346,0.5995,0.93023,0,1.02443e-05,1.02443e-05,1.02443e-05
