Generating SQLite file outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite from outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.nsys-rep
Processing [outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.9,1096892,50,21937.8,22464.0,20128,22912,909.8,trt_volta_s884cudnn_fp16_128x128_ldg8_relu_exp_small_nhwc2nchw_tn_v1
0.7,887836,100,8878.4,8864.0,8000,10048,400.5,"void cuInt8::nhwc8Tonchhw2<(int)32, (int)8, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.7,878130,50,17562.6,17824.0,16511,18496,706.3,sm70_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor8x8x4_simple_t1r1s1_execute_kernel_trt
0.7,858654,50,17173.1,17600.0,16288,17856,620.2,sm50_xmma_pooling_max_nhwc_FP16FP32_WINDOWSIZE_5_PROPAGATE_NAN_2D_execute_kernel_trt
0.6,800760,50,16015.2,16351.5,14976,16736,609.4,sm50_xmma_softmax_trt_NCHW_FP16_Dim2_Threads256_execute2_kernel_trt
0.6,796928,50,15938.6,16208.0,15008,16960,606.2,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x64x32_stage1_warpsize2x2x1_g1_tensor16x8x8_t1r1s1_execute_kernel_trt
0.6,776537,50,15530.7,15632.0,14624,16224,440.1,sm75_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize128x64x32_stage1_warpsize2x2x1_tensor16x8x8_execute_kernel_trt
0.6,720829,50,14416.6,14607.5,13440,15200,582.4,"void cuInt8::nchhw2Tonhwc8<(int)32, (int)16, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.5,684412,100,6844.1,6736.0,5280,8672,1277.2,ResizeVectorizedH2x4NearestKernel
0.5,651104,50,13022.1,13280.0,12288,13568,480.4,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_simple_t1r1s1_execute_kernel_trt
0.5,643006,50,12860.1,13184.0,12256,13344,456.6,"void cuInt8::nhwc8Tonchhw2<(int)32, (int)16, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.4,518336,50,10366.7,10624.0,9856,10848,378.4,"void cuInt8::nhwcTonchw<__half, (int)32, (int)32, (int)2>(const __half *, T1 *, int, int, int, int, int, int)"
0.4,496150,50,9923.0,10144.0,9439,10272,341.7,"void genericReformat::copyVectorizedKernel<double, __half, float, (bool)1, (bool)0, (int)1>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.3,433600,50,8672.0,8864.0,8128,9088,300.7,trt_volta_h884gemm_64x64_ldg8_relu_nn_v1
0.3,397760,50,7955.2,8144.0,7552,8736,299.5,"void cuInt8::nchhw2Tonhwc8<(int)32, (int)8, (int)2>(const __half *, __half *, int, int, int, int, int, int)"
0.3,323038,50,6460.8,6623.0,6144,6720,216.4,"void genericReformat::copyVectorizedKernel<double, __half, __half, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.2,306111,100,3061.1,3040.0,2848,3264,118.6,"void genericReformat::copyVectorizedKernel<double, float, float, (bool)1, (bool)0, (int)3>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.2,301214,100,3012.1,3056.0,2528,3488,377.6,"void genericReformat::copyVectorizedKernel<double, float, float, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.2,242240,50,4844.8,4928.0,4576,5088,150.0,"void genericReformat::copyVectorizedKernel<double, float, __half, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.2,209568,50,4191.4,4288.0,4000,4352,132.9,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
0.1,152574,50,3051.5,3104.0,2912,3200,98.2,"void genericReformat::copyVectorizedKernel<double, __half, float, (bool)1, (bool)0, (int)4>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.1,130974,50,2619.5,2656.0,2496,2720,69.6,"void genericReformat::copyVectorizedKernel<double, float, __half, (bool)1, (bool)0, (int)1>(unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, const float *)"
0.0,46912,16,2932.0,2848.0,2784,3584,196.2,"void cask_trt::computeOffsetsKernel<(bool)0, (bool)0>(cask_trt::ComputeOffsetsParams)"

Processing [outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]...
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
91.2,21572688,51,422993.9,405182.0,403774,1236473,116253.5,[CUDA memcpy Host-to-Device]
6.1,1445644,52,27800.8,28784.0,1632,31071,5319.8,[CUDA memcpy Device-to-Host]
2.3,536284,67,8004.2,9376.0,2464,10784,3026.7,[CUDA memcpy Device-to-Device]
0.4,86686,19,4562.4,2528.0,736,41695,9024.8,[CUDA memset]
