name,layer_type,output_precision,output_formats
"PWN(PWN(/model.8/cv1/act/Sigmoid), PWN(/model.8/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.8/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))",Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.8/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.8/m.0/cv2/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.8/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/cv2/act/Mul)), PWN(/model.8/m.0/Add))",Reformat,FP32,Row major linear FP32
"PWN(PWN(PWN(/model.8/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/cv2/act/Mul)), PWN(/model.8/m.0/Add))",PointWiseV2,FP32,Row major linear FP32
/model.8/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.9/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
/model.9/m/MaxPool,CaskPooling,FP32,Row major linear FP32
/model.9/m_1/MaxPool,CaskPooling,FP32,Row major linear FP32
/model.9/m_2/MaxPool,CaskPooling,FP32,Row major linear FP32
Reformatting CopyNode for Output Tensor 0 to /model.9/m_2/MaxPool,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/cv1/conv/Conv_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/m/MaxPool_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/m_1/MaxPool_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.9/cv2/conv/Conv + PWN(PWN(/model.9/cv2/act/Sigmoid), PWN(/model.9/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.10/Resize,Resize,FP32,Row major linear FP32
/model.10/Resize_output_0 copy,Reformat,FP32,Row major linear FP32
/model.12/cv0/conv/Conv || /model.12/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
"PWN(PWN(/model.12/cv0/act/Sigmoid), PWN(/model.12/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.12/cv1/act/Sigmoid), PWN(/model.12/cv1/act/Mul))",Reformat,FP32,Channel major FP32 format where channel % 4 == 0
"PWN(PWN(/model.12/cv1/act/Sigmoid), PWN(/model.12/cv1/act/Mul))",PointWiseV2,FP32,Channel major FP32 format where channel % 4 == 0
"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.12/cv1/act/Sigmoid), PWN(/model.12/cv1/act/Mul))",NoOp,FP32,Channel major FP32 format
"Reformatting CopyNode for Input Tensor 0 to /model.12/m.0/cv1/conv/Conv + PWN(PWN(/model.12/m.0/cv1/act/Sigmoid), PWN(/model.12/m.0/cv1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.12/m.0/cv1/conv/Conv + PWN(PWN(/model.12/m.0/cv1/act/Sigmoid), PWN(/model.12/m.0/cv1/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
"/model.12/m.0/cv2/conv/Conv + PWN(PWN(/model.12/m.0/cv2/act/Sigmoid), PWN(/model.12/m.0/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.12/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.12/cv2/conv/Conv + PWN(PWN(/model.12/cv2/act/Sigmoid), PWN(/model.12/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.12/cv2/conv/Conv + PWN(PWN(/model.12/cv2/act/Sigmoid), PWN(/model.12/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.13/Resize,Resize,FP32,Row major linear FP32
/model.13/Resize_output_0 copy,Reformat,INT8,Row major Int8 format
Reformatting CopyNode for Input Tensor 0 to /model.15/cv0/conv/Conv || /model.15/cv1/conv/Conv,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.15/cv0/conv/Conv || /model.15/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
Reformatting CopyNode for Output Tensor 0 to /model.15/cv0/conv/Conv || /model.15/cv1/conv/Conv,NoOp,FP32,Row major linear FP32
"PWN(PWN(/model.15/cv0/act/Sigmoid), PWN(/model.15/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.15/cv1/act/Sigmoid), PWN(/model.15/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.15/cv1/act/Sigmoid), PWN(/model.15/cv1/act/Mul))",Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.15/m.0/cv1/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.15/m.0/cv1/act/Sigmoid), PWN(/model.15/m.0/cv1/act/Mul))",Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.15/m.0/cv1/act/Sigmoid), PWN(/model.15/m.0/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.15/m.0/cv2/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.15/m.0/cv2/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.15/m.0/cv2/act/Sigmoid), PWN(/model.15/m.0/cv2/act/Mul))",Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.15/m.0/cv2/act/Sigmoid), PWN(/model.15/m.0/cv2/act/Mul))",PointWiseV2,FP32,Row major linear FP32
/model.15/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.15/cv2/conv/Conv + PWN(PWN(/model.15/cv2/act/Sigmoid), PWN(/model.15/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.15/cv2/conv/Conv + PWN(PWN(/model.15/cv2/act/Sigmoid), PWN(/model.15/cv2/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
"/model.16/conv/Conv + PWN(PWN(/model.16/act/Sigmoid), PWN(/model.16/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.16/act/Mul_output_0 copy,Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.12/cv2/act/Mul_output_0 copy,Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.18/cv0/conv/Conv || /model.18/cv1/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.18/cv0/conv/Conv || /model.18/cv1/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.18/cv0/act/Sigmoid), PWN(/model.18/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.18/cv1/act/Sigmoid), PWN(/model.18/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"/model.18/m.0/cv1/conv/Conv + PWN(PWN(/model.18/m.0/cv1/act/Sigmoid), PWN(/model.18/m.0/cv1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"/model.18/m.0/cv2/conv/Conv + PWN(PWN(/model.18/m.0/cv2/act/Sigmoid), PWN(/model.18/m.0/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.18/cv2/conv/Conv + PWN(PWN(/model.18/cv2/act/Sigmoid), PWN(/model.18/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
