epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,490.702,1.0128,0.58171,0.91578,0.95624,0.93447,0.97301,0.53771,1.47577,0.63969,1.05683,0.0002773,0.0002773,0.0002773
75,497.27,0.94383,0.57002,0.91414,0.97669,0.94584,0.98162,0.76109,0.81144,0.48351,0.89087,0.0002674,0.0002674,0.0002674
76,503.661,0.87332,0.52758,0.89218,0.9652,0.9551,0.98004,0.74037,0.84967,0.48384,0.89802,0.0002575,0.0002575,0.0002575
77,510.082,0.88035,0.53363,0.89976,0.96891,0.9581,0.98188,0.76804,0.78134,0.45932,0.88564,0.0002476,0.0002476,0.0002476
78,516.604,0.91039,0.54091,0.89483,0.97232,0.94481,0.98247,0.71612,0.9387,0.50259,0.91428,0.0002377,0.0002377,0.0002377
79,523.105,0.86673,0.51678,0.8907,0.96815,0.95399,0.9824,0.72529,0.91494,0.48267,0.9063,0.0002278,0.0002278,0.0002278
80,529.46,0.92963,0.54778,0.90473,0.97145,0.95162,0.98285,0.76397,0.80193,0.46891,0.88576,0.0002179,0.0002179,0.0002179
81,535.737,0.8927,0.53406,0.8884,0.97185,0.9595,0.98415,0.77947,0.76367,0.45144,0.88192,0.000208,0.000208,0.000208
82,542.233,0.87012,0.51992,0.88963,0.96095,0.95758,0.98214,0.76122,0.83018,0.47506,0.8963,0.0001981,0.0001981,0.0001981
83,548.813,0.89613,0.52676,0.90675,0.97234,0.95514,0.98419,0.72513,0.93958,0.48081,0.91369,0.0001882,0.0001882,0.0001882
84,555.167,0.89694,0.53306,0.89542,0.97104,0.95863,0.98528,0.77553,0.78743,0.44576,0.88384,0.0001783,0.0001783,0.0001783
85,561.65,0.85996,0.50665,0.88332,0.97268,0.9528,0.98529,0.76246,0.80723,0.45366,0.88755,0.0001684,0.0001684,0.0001684
