layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"model.8.cv0.conv.weight + /model.8/cv0/conv/weight_quantizer/QuantizeLinear + /model.8/cv0/conv/Conv + PWN(/model.8/cv0/act/Sigmoid, /model.8/cv0/act/Mul)",1x179x20x20,1x89x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_interior_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.8.cv1.conv.weight + /model.8/cv1/conv/weight_quantizer/QuantizeLinear + /model.8/cv1/conv/Conv,1x179x20x20,1x89x20x20,1x1,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"model.8.m.0.cv1.conv.weight + /model.8/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/cv1/conv/Conv + PWN(/model.8/m.0/cv1/act/Sigmoid, /model.8/m.0/cv1/act/Mul)",1x89x20x20,1x89x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.8.m.0.cv2.conv.weight + /model.8/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.8/m.0/cv2/conv/Conv,1x89x20x20,1x89x20x20,3x3,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"model.8.cv2.conv.weight + /model.8/cv2/conv/weight_quantizer/QuantizeLinear + /model.8/cv2/conv/Conv + PWN(/model.8/cv2/act/Sigmoid, /model.8/cv2/act/Mul)",1x267x20x20,1x179x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.9.cv1.conv.weight + /model.9/cv1/conv/weight_quantizer/QuantizeLinear + /model.9/cv1/conv/Conv,1x179x20x20,1x89x20x20,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,sm75_xmma_fprop_implicit_gemm_interleaved_i8i8_i8i32_f32_nchw_vect_c_32kcrs_vect_c_32_nchw_vect_c_32_tilesize32x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_simple_t1r1s1,Engine inspector confirms INT8 output format and INT8 tactic.
model.9.cv2.conv.weight + /model.9/cv2/conv/weight_quantizer/QuantizeLinear + /model.9/cv2/conv/Conv,1x356x20x20,1x179x20x20,1x1,1,FP32,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major FP32 format,Int8,turing_fp32_i8816cudnn_int8_128x128_ldg16_relu_small_nt_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=179 is not divisible by 4, unfavorable for vectorized INT8"
"model.12.cv0.conv.weight + /model.12/cv0/conv/weight_quantizer/QuantizeLinear + /model.12/cv0/conv/Conv + PWN(/model.12/cv0/act/Sigmoid, /model.12/cv0/act/Mul)",1x268x40x40,1x44x40x40,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.12.cv1.conv.weight + /model.12/cv1/conv/weight_quantizer/QuantizeLinear + /model.12/cv1/conv/Conv,1x268x40x40,1x44x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x64_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute"
"model.12.m.0.cv1.conv.weight + /model.12/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.12/m.0/cv1/conv/Conv + PWN(/model.12/m.0/cv1/act/Sigmoid, /model.12/m.0/cv1/act/Mul)",1x44x40x40,1x44x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
